epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,train_eval_loss,train_eval_accuracy,train_eval_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,elapsed_seconds,peak_gpu_memory_mb
1,0.0005,1.5551427718234452,0.5832566062056901,0.4226308374760055,3.058053129597714,0.3092105263157895,0.29192732027116514,2.406936498065899,0.44788213627992635,0.3121187191777281,416.78616829999737,1301.12255859375
2,0.0005,0.8088817526848318,0.7721204308995488,0.6870426476834034,2.520953469527395,0.4342105263157895,0.41551253526904847,1.9869210256836471,0.5734806629834254,0.4478296703869267,555.3181794000011,1301.12255859375
3,0.0005,0.5821867084406586,0.8296197403554001,0.7696129422005291,2.1818548327998113,0.4631578947368421,0.4395754220941306,1.4768216485257086,0.6390423572744015,0.4953176848295919,680.1355581000025,1301.12255859375
4,0.0005,0.46126727292676206,0.8639167664119326,0.8196430884027167,1.9765673813066984,0.5539473684210526,0.5503521308815329,1.444516190902963,0.683609576427256,0.5822290658853396,803.1438751000023,1301.12255859375
5,0.0005,0.38754861949008423,0.883712365343891,0.8447113956432878,1.4463151429828844,0.6552631578947369,0.6313750824213065,0.9733433777236588,0.7596685082872928,0.6531344164713907,617.5083285999972,1301.12255859375
6,0.0005,0.34137446430767565,0.8959349967774607,0.8606599429548981,2.2414422938698215,0.5144736842105263,0.4841045785432307,1.612169058590743,0.6644567219152855,0.5324791072523567,578.0191263999986,1301.12255859375
7,0.0005,0.3053228981355949,0.9058327962434398,0.8736013168033862,1.2500123858451844,0.7065789473684211,0.6830274728433248,0.9217476462571441,0.7871086556169429,0.6936507959366445,557.4922001999985,1301.12255859375
8,0.0005,0.2777919109992017,0.91395819906086,0.8849514251037989,1.2344029087769357,0.7092105263157895,0.7030800759079385,0.8678500010163744,0.7990791896869245,0.7210063157396029,537.4647506999972,1301.12255859375
9,0.0005,0.2551455429485298,0.921324003314612,0.8954022090530976,2.1400450706481933,0.5921052631578947,0.580573700478511,1.513041253555326,0.7047882136279926,0.6012652085909744,589.1967317000017,1301.12255859375
10,0.0005,0.2343122736847474,0.9265491207071173,0.9025194003030274,1.1669467223318,0.7236842105263158,0.7185533116253655,0.7228621103267424,0.8165745856353591,0.7331144373912827,607.7054872000008,1301.12255859375
11,0.0005,0.2200718322749428,0.9310606758125403,0.910046513457987,1.4899974986126547,0.656578947368421,0.6385761732666361,0.9271754178772534,0.7865561694290976,0.6800345233484477,606.9864573999985,1301.12255859375
12,0.0005,0.2035922530883145,0.9349507411840531,0.9142637246086304,1.1945355076538888,0.7118421052631579,0.7070380482788582,0.7165621862666164,0.8147329650092081,0.7358342716916627,579.3869335000018,1301.12255859375
13,0.0005,0.18827036504021732,0.9418331645336525,0.9237449076524731,1.2035968015068457,0.7473684210526316,0.7379994061252227,0.8148777192029725,0.8079189686924494,0.7283197956659974,610.4330345000017,1301.12255859375
14,0.0005,0.18300581854613662,0.94328330724611,0.9252246138379987,1.138483673020413,0.7342105263157894,0.7381659921250431,0.7386524276838777,0.8130755064456722,0.7391339856401894,529.5855928000019,1301.12255859375
15,0.0005,0.1681549359439168,0.9466439554368843,0.9296091018448959,0.7601667121837014,0.8184210526315789,0.8183434610826502,0.4574504006523673,0.8657458563535911,0.8121116229314201,455.6077484999987,1301.12255859375
