model,run_name,parameters,parameters_million,theoretical_fp32_size_mb,batch_size,epochs_completed,best_epoch,validation_loss,validation_accuracy,validation_macro_f1,test_examples,test_errors,test_loss,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_f1,test_top3_accuracy,test_macro_roc_auc_ovr,training_minutes,peak_gpu_memory_mb
Baseline CNN,baseline_b64_lr5e4_full,399142,0.399142,1.5226058959960938,64,15,15,0.4574504006523673,0.8657458563535911,0.8121116229314201,5431,683,0.4627195244181378,0.8742404713680721,0.8729343920229607,0.8059690612035396,0.8200766225613672,0.8711307976779965,0.957466396612042,0.9963000487375759,145.41283620666667,1301.12255859375
ResNet18,resnet18_b32_blr1e4_hlr5e4_full,11196006,11.196006,42.709373474121094,32,12,12,0.02591512907943028,0.9924493554327809,0.9883391857129539,5431,40,0.024756317308316286,0.992634873872215,0.9899492196415656,0.9854515804761557,0.9869301004587141,0.9926689911236609,0.9996317436936107,0.9999836333152373,69.82875191166677,574.19921875
EfficientNet-B0,efficientnet_b0_b32_blr1e4_hlr5e4_full,4056226,4.056226,15.473274230957031,32,12,10,0.016095694762519108,0.9950276243093923,0.992400127647073,5431,26,0.016269383806336322,0.9952126680169397,0.9932149019483364,0.9916591145597978,0.9923314393227013,0.995212360623326,0.9998158718468054,0.9999798641056115,65.38147010166674,1461.9462890625
