model,accuracy_mean,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,macro_f1_ci_low,macro_f1_ci_high,bootstrap_samples
EfficientNet-B0,0.9900293211317582,0.9881408161359604,0.9919693715566346,0.9872582605329492,0.9846847347817052,0.9899995394784753,1000
50/50 Ensemble,0.9913866840974881,0.9895415071435242,0.9930899243626856,0.9896630117976983,0.987259017635636,0.9917897289604232,1000
