model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,errors,ece_15_bins,nll,multiclass_brier
EfficientNet-B0,0.9901017835465497,0.9896664534546566,0.9854990581640964,0.9873730688086694,0.9901140982962432,106,0.0038453387589623186,0.03570402041077614,0.016144560649991035
50/50 Ensemble,0.9914090951536091,0.99076381373039,0.989098675102101,0.989732611691459,0.9913961674095462,92,0.00912107032591454,0.03541933372616768,0.017434751614928246
