epoch,random_label_train_loss,random_label_train_accuracy,true_label_validation_accuracy,true_label_validation_macro_f1
1,3.729629750000803,0.02763157894736842,0.015789473684210527,0.012012571915619007
2,3.453910433618646,0.11447368421052631,0.015789473684210527,0.011048354538659247
3,3.3169747929824025,0.16578947368421051,0.02368421052631579,0.020998219232291254
4,3.166496585544787,0.22236842105263158,0.021052631578947368,0.01808326085230783
5,3.0383003962667363,0.26710526315789473,0.018421052631578946,0.018320373583531478
