model,best_epoch,augmented_train_accuracy,clean_train_eval_accuracy,validation_accuracy,test_accuracy,clean_train_minus_validation_pp,validation_minus_test_pp,augmented_train_macro_f1,clean_train_eval_macro_f1,validation_macro_f1,test_macro_f1,clean_train_minus_validation_macro_f1,validation_minus_test_macro_f1
Baseline CNN,15,0.953979176792612,0.7789473684210526,0.8354997758852533,0.8462041273695022,-5.6552407464200645,-1.0704351484248975,0.9386331313272424,0.7740906978387931,0.7567812734375469,0.7813229936729801,0.017309424401246276,-0.024541720235433218
ResNet18,10,0.9969046583612596,0.9815789473684212,0.9881219184222322,0.9765617704734335,-0.6542971053810964,1.1560147948798671,0.9956772966657764,0.9812250001088592,0.9862371607859096,0.9686027918756701,-0.005012160677050459,0.017634368910239506
EfficientNet-B0,5,0.9941674554245222,0.9973684210526316,0.98677722994173,0.9901017835465497,1.0591191110901566,-0.33245536048196467,0.992835559859198,0.997366775287186,0.9824313452241428,0.9873730688086694,0.014935430063043209,-0.004941723584526603
